date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:01	79658/79658	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-1372a%22	https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/dashboard-instructor.html	(from )
17:54:02	50/50	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Apr%202024%2017:50:56%20GMT	https://geeksui.codescandy.com/robots.txt		(from )
17:54:03	1260/1260	---MCZ	200	added ('OK')	application/javascript	etag:W/%22653b85bb-4ec%22	https://geeksui.codescandy.com/geeks/assets/js/vendors/darkMode.js	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/js/vendors/darkMode.js	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:03	12429/12429	---MCZ	200	added ('OK')	text/css	etag:W/%22653b85bb-308d%22	https://geeksui.codescandy.com/geeks/assets/fonts/feather/feather.css	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/fonts/feather/feather.css	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:04	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%22653b85bb-14f73%22	https://geeksui.codescandy.com/geeks/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/libs/bootstrap-icons/font/bootstrap-icons.min.css	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:05	3269/3269	---MCZ	200	added ('OK')	text/css	etag:W/%22653b85bb-cc5%22	https://geeksui.codescandy.com/geeks/assets/libs/simplebar/dist/simplebar.min.css	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/libs/simplebar/dist/simplebar.min.css	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:06	23328/23328	---M--	200	added ('OK')	image/jpeg	etag:%22653b85bb-5b20%22	https://geeksui.codescandy.com/geeks/assets/images/avatar/avatar-1.jpg	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/images/avatar/avatar-1.jpg	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:07	28160/28160	---M--	200	added ('OK')	image/jpeg	etag:%22653b85bb-6e00%22	https://geeksui.codescandy.com/geeks/assets/images/avatar/avatar-2.jpg	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/images/avatar/avatar-2.jpg	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:08	474781/474781	---MCZ	200	added ('OK')	text/css	etag:W/%22653b85bb-73e9d%22	https://geeksui.codescandy.com/geeks/assets/css/theme.min.css	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/css/theme.min.css	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:08	26320/26320	---M--	200	added ('OK')	image/jpeg	etag:%22653b85bb-66d0%22	https://geeksui.codescandy.com/geeks/assets/images/avatar/avatar-3.jpg	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/images/avatar/avatar-3.jpg	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:08	25171/25171	---M--	200	added ('OK')	image/jpeg	etag:%22653b85bb-6253%22	https://geeksui.codescandy.com/geeks/assets/images/avatar/avatar-4.jpg	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/assets/images/avatar/avatar-4.jpg	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:09	83800/83800	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2017:51:02%20GMT	https://geeksui.codescandy.com/geeks/pages/notification-history.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/notification-history.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:09	69337/69337	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-10ed9%22	https://geeksui.codescandy.com/geeks/pages/profile-edit.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/profile-edit.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:10	53591/53591	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-d157%22	https://geeksui.codescandy.com/geeks/pages/student-subscriptions.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/student-subscriptions.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:10	161582/161582	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-2772e%22	https://geeksui.codescandy.com/geeks/pages/course-category.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-category.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:11	94297/94297	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-17059%22	https://geeksui.codescandy.com/geeks/pages/landings/landing-education.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/landing-education.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:11	445488/445488	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-6cc30%22	https://geeksui.codescandy.com/geeks/pages/landings/home-academy.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/home-academy.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:12	460650/460650	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-7076a%22	https://geeksui.codescandy.com/geeks/pages/landings/landing-courses.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/landing-courses.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:13	92448/92448	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-16920%22	https://geeksui.codescandy.com/geeks/pages/landings/course-lead.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/course-lead.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:13	65764/65764	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-100e4%22	https://geeksui.codescandy.com/geeks/pages/landings/request-access.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/request-access.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:13	80013/80013	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-1388d%22	https://geeksui.codescandy.com/geeks/pages/landings/landing-sass.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/landing-sass.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:14	95995/95995	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-176fb%22	https://geeksui.codescandy.com/geeks/pages/landings/landing-job.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/landings/landing-job.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:15	294024/294024	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-47c88%22	https://geeksui.codescandy.com/geeks/pages/course-single.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-single.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:15	246504/246504	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-3c2e8%22	https://geeksui.codescandy.com/geeks/pages/course-single-v2.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-single-v2.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:16	163055/163055	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-27cef%22	https://geeksui.codescandy.com/geeks/pages/course-resume.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-resume.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:16	91849/91849	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-166c9%22	https://geeksui.codescandy.com/geeks/pages/course-checkout.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-checkout.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:17	233235/233235	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-38f13%22	https://geeksui.codescandy.com/geeks/pages/course-filter-list.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-filter-list.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:17	99686/99686	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-18566%22	https://geeksui.codescandy.com/geeks/pages/add-course.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/add-course.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:18	84814/84814	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-14b4e%22	https://geeksui.codescandy.com/geeks/pages/course-path.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-path.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:18	182110/182110	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-2c75e%22	https://geeksui.codescandy.com/geeks/pages/course-path-single.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/course-path-single.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
17:54:19	48486/48486	---MCZ	200	added ('OK')	text/html	etag:W/%22653b85ba-bd66%22	https://geeksui.codescandy.com/geeks/pages/blog.html	D:/web%20Interface/kale/kale/geeksui.codescandy.com/geeks/pages/blog.html	(from https://geeksui.codescandy.com/geeks/pages/dashboard-instructor.html)
